url	local_groups	topic_groups	local_count	topic_count
vk.com/id485115578	Ленинский комсомол лксм, За новый социализм	Агитплакат отвага	2	1
vk.com/id144007395	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id356404274	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id60388759	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id179188333	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id187973791	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id135304623	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id424843069	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага	1	2
vk.com/id134690307	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id614063754	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id53627271	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id113574281	Ленинский комсомол лксм	Акм новосибирск	1	1
vk.com/id38687037	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id582311145	Белгородский комсомол	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id3590092	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id190793439	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id479469351	Ленинский комсомол лксм	Агитплакат отвага, Александр зиновьев, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id135252547	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id433772567	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id109293939	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id33741270	Открытый белгородский политический клуб	Александр зиновьев	1	1
vk.com/id357410441	Свободный белгород	Агитплакат отвага	1	1
vk.com/id330793016	За новый социализм, Открытый белгородский политический клуб	Александр зиновьев	2	1
vk.com/id703380796	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id286014701	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id626610796	Белгородский комсомол, Ленинский комсомол лксм, За новый социализм	Агитплакат отвага, Альтернативы	3	2
vk.com/id730564879	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id591445626	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id21353270	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id139105188	Свободный белгород	Альтернативы	1	1
vk.com/id359896797	Ленинский комсомол лксм	Апокрифы диалектики, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	3
vk.com/id710728900	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id436073764	Белгородский комсомол, Ленинский комсомол лксм	Агитплакат отвага, Антитезис	2	2
vk.com/id41140327	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id238694745	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id380923326	Ленинский комсомол лксм, Открытый белгородский политический клуб	Альтернативы	2	1
vk.com/id96827091	Ленинский комсомол лксм	Альтернативы	1	1
vk.com/id3432156	За новый социализм	Агитплакат отвага	1	1
vk.com/id668699602	Ленинский комсомол лксм	Агитплакат отвага, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id90894757	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id283617731	Ленинский комсомол лксм	Анархо-Коммунистическая партия россии	1	1
vk.com/id100070877	Открытый белгородский политический клуб	Агитплакат отвага, Альтернативы	1	2
vk.com/id549098466	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id350072271	Ленинский комсомол лксм	Александр зиновьев	1	1
vk.com/id3102316	Ленинский комсомол лксм	Апокрифы диалектики, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id34199307	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id273334135	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id405167602	Ленинский комсомол лксм	Антитезис	1	1
vk.com/id299865970	За новый социализм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id22077827	Ленинский комсомол лксм	Агитплакат отвага	1	1
vk.com/id163759343	Ленинский комсомол лксм	Молодая гвардия большевиков-Ленинцев	1	1
vk.com/id609823383	За новый социализм	Апокрифы диалектики, Агитплакат отвага, Альтернативы, Молодая гвардия большевиков-Ленинцев	1	4
vk.com/id314809070	Ленинский комсомол лксм	Апокрифы диалектики, Анархо-Коммунистическая партия россии, Агитплакат отвага	1	3
vk.com/id20761663	Ленинский комсомол лксм	Антитезис, Молодая гвардия большевиков-Ленинцев	1	2
vk.com/id204731	Ленинский комсомол лксм	Альтернативы, Молодая гвардия большевиков-Ленинцев	1	2
